iter	Passed	Remaining
0	0	72
1	1	68
2	2	72
3	2	68
4	3	66
5	4	69
6	5	68
7	8	94
8	9	93
9	9	89
10	10	86
11	11	82
12	11	78
13	12	74
14	12	72
15	13	68
16	13	65
17	13	63
18	15	65
19	15	63
20	16	62
21	17	60
22	18	60
23	18	58
24	19	57
25	19	56
26	21	57
27	22	56
28	23	57
29	24	57
30	24	55
31	25	54
32	25	52
33	26	51
34	26	49
35	27	48
36	27	47
37	28	47
38	29	46
39	30	45
40	30	44
41	30	42
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	36	35
51	37	34
52	38	33
53	39	33
54	39	32
55	39	31
56	40	30
57	41	30
58	43	30
59	43	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	57	16
78	57	15
79	58	14
80	58	13
81	59	12
82	59	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	67	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	70	0
